participant_id,persona,method,method_order,acceptance,satisfaction_score
R0199,Cooperative regular,HEMA,2,0,5
R0199,Cooperative regular,EnergyBridge,3,0,3
R0200,EV commuter,MPC,1,0,2
R0200,EV commuter,HEMA,2,0,3
R0200,EV commuter,EnergyBridge,3,1,3
R0201,Caregiver,MPC,1,0,4
R0201,Caregiver,HEMA,2,0,4
R0201,Caregiver,EnergyBridge,3,1,5
R0202,Comfort-sensitive,MPC,1,0,5
R0202,Comfort-sensitive,HEMA,2,1,5
R0202,Comfort-sensitive,EnergyBridge,3,0,5
R0203,Price-sensitive,MPC,1,0,3
R0203,Price-sensitive,HEMA,2,0,0
R0203,Price-sensitive,EnergyBridge,3,1,5
R0204,Caregiver,MPC,1,0,5
R0204,Caregiver,HEMA,2,0,3
R0204,Caregiver,EnergyBridge,3,1,2
R0205,Cooperative regular,MPC,1,0,2
R0205,Cooperative regular,HEMA,2,0,1
R0205,Cooperative regular,EnergyBridge,3,0,5
R0206,EV commuter,MPC,1,0,3
R0206,EV commuter,HEMA,2,1,2
R0206,EV commuter,EnergyBridge,3,1,3
R0207,EV commuter,MPC,1,0,5
R0207,EV commuter,HEMA,2,1,3
R0207,EV commuter,EnergyBridge,3,1,4
R0208,EV commuter,MPC,1,0,2
R0208,EV commuter,HEMA,2,0,5
R0208,EV commuter,EnergyBridge,3,1,5
R0209,Caregiver,MPC,1,0,1
R0209,Caregiver,HEMA,2,1,0
R0209,Caregiver,EnergyBridge,3,0,4
R0210,Comfort-sensitive,MPC,1,0,5
R0210,Comfort-sensitive,HEMA,2,1,0
R0210,Comfort-sensitive,EnergyBridge,3,0,5
R0211,Price-sensitive,MPC,1,0,4
R0211,Price-sensitive,HEMA,2,1,3
R0211,Price-sensitive,EnergyBridge,3,0,4
R0212,EV commuter,MPC,1,0,5
R0212,EV commuter,HEMA,2,1,1
R0212,EV commuter,EnergyBridge,3,1,4
R0213,Price-sensitive,MPC,1,0,0
R0213,Price-sensitive,HEMA,2,0,0
R0213,Price-sensitive,EnergyBridge,3,0,0
R0214,Comfort-sensitive,MPC,1,0,2
R0214,Comfort-sensitive,HEMA,2,0,0
R0214,Comfort-sensitive,EnergyBridge,3,1,5
R0215,Caregiver,MPC,1,0,5
R0215,Caregiver,HEMA,2,0,0
R0215,Caregiver,EnergyBridge,3,1,4
R0216,EV commuter,MPC,1,0,0
R0216,EV commuter,HEMA,2,0,4
R0216,EV commuter,EnergyBridge,3,1,4
R0217,EV commuter,MPC,1,0,5
R0217,EV commuter,HEMA,2,1,2
R0217,EV commuter,EnergyBridge,3,1,0
R0218,Price-sensitive,MPC,1,0,5
R0218,Price-sensitive,HEMA,2,0,0
R0218,Price-sensitive,EnergyBridge,3,1,3
R0219,EV commuter,MPC,1,0,3
R0219,EV commuter,HEMA,2,0,5
R0219,EV commuter,EnergyBridge,3,1,5
R0220,Price-sensitive,MPC,1,0,2
R0220,Price-sensitive,HEMA,2,1,0
R0220,Price-sensitive,EnergyBridge,3,0,2
R0221,Cooperative regular,MPC,1,0,0
R0221,Cooperative regular,HEMA,2,1,2
R0221,Cooperative regular,EnergyBridge,3,0,0
R0222,Irregular routine,MPC,1,0,3
R0222,Irregular routine,HEMA,2,0,3
R0222,Irregular routine,EnergyBridge,3,1,3
R0223,Irregular routine,MPC,1,0,3
R0223,Irregular routine,HEMA,2,1,1
R0223,Irregular routine,EnergyBridge,3,1,2
R0224,Price-sensitive,MPC,1,0,5
R0224,Price-sensitive,HEMA,2,0,4
R0224,Price-sensitive,EnergyBridge,3,0,5
R0225,EV commuter,MPC,1,0,2
R0225,EV commuter,HEMA,2,1,2
R0225,EV commuter,EnergyBridge,3,1,0
R0226,Comfort-sensitive,MPC,1,0,0
R0226,Comfort-sensitive,HEMA,2,0,2
R0226,Comfort-sensitive,EnergyBridge,3,0,5
R0227,Caregiver,MPC,1,1,4.2
R0227,Caregiver,HEMA,2,1,3.6
R0227,Caregiver,EnergyBridge,3,1,3.8
R0228,Cooperative regular,MPC,1,1,5
R0228,Cooperative regular,HEMA,2,0,0
R0228,Cooperative regular,EnergyBridge,3,1,3
R0229,EV commuter,MPC,1,0,3
R0229,EV commuter,HEMA,2,1,0
R0229,EV commuter,EnergyBridge,3,1,2
R0230,Comfort-sensitive,MPC,1,0,4.1
R0230,Comfort-sensitive,HEMA,2,1,3.6
R0230,Comfort-sensitive,EnergyBridge,3,1,3.8
R0231,Comfort-sensitive,MPC,1,0,4
R0231,Comfort-sensitive,HEMA,2,0,1
R0231,Comfort-sensitive,EnergyBridge,3,1,3
R0232,Cooperative regular,MPC,1,1,0
R0232,Cooperative regular,HEMA,2,0,5
R0232,Cooperative regular,EnergyBridge,3,0,4
R0233,Comfort-sensitive,MPC,1,0,4
R0233,Comfort-sensitive,HEMA,2,0,4
R0233,Comfort-sensitive,EnergyBridge,3,0,5
R0234,EV commuter,MPC,1,0,2
R0234,EV commuter,HEMA,2,1,1
R0234,EV commuter,EnergyBridge,3,1,4
R0235,Caregiver,MPC,1,0,5
R0235,Caregiver,HEMA,2,1,5
R0235,Caregiver,EnergyBridge,3,1,3
R0236,EV commuter,MPC,1,1,5
R0236,EV commuter,HEMA,2,0,1
R0236,EV commuter,EnergyBridge,3,1,4
R0237,Irregular routine,MPC,1,0,2
R0237,Irregular routine,HEMA,2,1,1
R0237,Irregular routine,EnergyBridge,3,1,4
R0238,Price-sensitive,MPC,1,0,5
R0238,Price-sensitive,HEMA,2,0,2
R0238,Price-sensitive,EnergyBridge,3,1,5
R0239,Price-sensitive,MPC,1,0,1
R0239,Price-sensitive,HEMA,2,0,4
R0239,Price-sensitive,EnergyBridge,3,1,0
R0240,EV commuter,MPC,1,0,1
R0240,EV commuter,HEMA,2,0,4
R0240,EV commuter,EnergyBridge,3,0,2
R0241,Comfort-sensitive,MPC,1,1,1
R0241,Comfort-sensitive,HEMA,2,1,3
R0241,Comfort-sensitive,EnergyBridge,3,1,2
R0242,Caregiver,MPC,1,0,4
R0242,Caregiver,HEMA,2,1,2
R0242,Caregiver,EnergyBridge,3,1,0
R0243,Caregiver,MPC,1,0,2
R0243,Caregiver,HEMA,2,1,1
R0243,Caregiver,EnergyBridge,3,1,3
R0244,EV commuter,MPC,1,0,5
R0244,EV commuter,HEMA,2,1,4
R0244,EV commuter,EnergyBridge,3,0,5
R0245,Cooperative regular,MPC,1,0,0
R0245,Cooperative regular,HEMA,2,0,5
R0245,Cooperative regular,EnergyBridge,3,1,5
R0246,Caregiver,MPC,1,1,4
R0246,Caregiver,HEMA,2,1,2
R0246,Caregiver,EnergyBridge,3,1,4
R0247,EV commuter,MPC,1,0,5
R0247,EV commuter,HEMA,2,0,3
R0247,EV commuter,EnergyBridge,3,0,3
R0248,EV commuter,MPC,1,0,5
R0248,EV commuter,HEMA,2,1,0
R0248,EV commuter,EnergyBridge,3,1,4
R0249,Irregular routine,MPC,1,0,2
R0249,Irregular routine,HEMA,2,0,5
R0249,Irregular routine,EnergyBridge,3,0,0
R0250,Cooperative regular,MPC,1,1,1
R0250,Cooperative regular,HEMA,2,0,4
R0250,Cooperative regular,EnergyBridge,3,1,5
R0251,Comfort-sensitive,MPC,1,1,1
R0251,Comfort-sensitive,HEMA,2,0,4
R0251,Comfort-sensitive,EnergyBridge,3,0,2
R0252,Irregular routine,MPC,1,0,1
R0252,Irregular routine,HEMA,2,1,1
R0252,Irregular routine,EnergyBridge,3,1,5
R0253,Comfort-sensitive,MPC,1,0,0
R0253,Comfort-sensitive,HEMA,2,0,5
R0253,Comfort-sensitive,EnergyBridge,3,1,3
R0254,Comfort-sensitive,MPC,1,0,1
R0254,Comfort-sensitive,HEMA,2,0,0
R0254,Comfort-sensitive,EnergyBridge,3,1,3
R0255,EV commuter,MPC,1,0,0
R0255,EV commuter,HEMA,2,1,0
R0255,EV commuter,EnergyBridge,3,1,4
R0256,Comfort-sensitive,MPC,1,0,2
R0256,Comfort-sensitive,HEMA,2,0,2
R0256,Comfort-sensitive,EnergyBridge,3,1,2
R0257,EV commuter,MPC,1,0,5
R0257,EV commuter,HEMA,2,1,3
R0257,EV commuter,EnergyBridge,3,1,4
R0258,Comfort-sensitive,MPC,1,0,4
R0258,Comfort-sensitive,HEMA,2,0,4
R0258,Comfort-sensitive,EnergyBridge,3,1,0
R0259,Caregiver,MPC,1,0,4
R0259,Caregiver,HEMA,2,0,0
R0259,Caregiver,EnergyBridge,3,1,0
R0260,Cooperative regular,MPC,1,0,0
R0260,Cooperative regular,HEMA,2,0,3
R0260,Cooperative regular,EnergyBridge,3,1,5
R0261,Comfort-sensitive,MPC,1,1,2.9
R0261,Comfort-sensitive,HEMA,2,0,1.5
R0261,Comfort-sensitive,EnergyBridge,3,1,2.9
R0262,Price-sensitive,MPC,1,0,5
R0262,Price-sensitive,HEMA,2,1,4
R0262,Price-sensitive,EnergyBridge,3,1,0
R0263,EV commuter,MPC,1,0,0
R0263,EV commuter,HEMA,2,1,3
R0263,EV commuter,EnergyBridge,3,0,2
R0264,Comfort-sensitive,MPC,1,0,3
R0264,Comfort-sensitive,HEMA,2,1,0
R0264,Comfort-sensitive,EnergyBridge,3,1,4
R0265,Irregular routine,MPC,1,0,4
R0265,Irregular routine,HEMA,2,0,5
R0265,Irregular routine,EnergyBridge,3,1,3
R0266,EV commuter,MPC,1,0,1
R0266,EV commuter,HEMA,2,1,4
R0266,EV commuter,EnergyBridge,3,1,0
R0267,Caregiver,MPC,1,0,0
R0267,Caregiver,HEMA,2,1,4
R0267,Caregiver,EnergyBridge,3,0,2
R0268,Caregiver,MPC,1,0,3
R0268,Caregiver,HEMA,2,0,5
R0268,Caregiver,EnergyBridge,3,1,4
R0269,Price-sensitive,MPC,1,0,0
R0269,Price-sensitive,HEMA,2,0,5
R0269,Price-sensitive,EnergyBridge,3,0,5
R0270,Cooperative regular,MPC,1,0,3
R0270,Cooperative regular,HEMA,2,0,3
R0270,Cooperative regular,EnergyBridge,3,0,0
R0271,Cooperative regular,MPC,1,0,3
R0271,Cooperative regular,HEMA,2,0,5
R0271,Cooperative regular,EnergyBridge,3,1,3
R0272,Caregiver,MPC,1,0,3
R0272,Caregiver,HEMA,2,1,3
R0272,Caregiver,EnergyBridge,3,1,5
R0273,Price-sensitive,MPC,1,0,2
R0273,Price-sensitive,HEMA,2,0,3
R0273,Price-sensitive,EnergyBridge,3,1,0
R0274,Cooperative regular,MPC,1,0,4.2
R0274,Cooperative regular,HEMA,2,1,3.2
R0274,Cooperative regular,EnergyBridge,3,0,4
R0275,Comfort-sensitive,MPC,1,0,1
R0275,Comfort-sensitive,HEMA,2,0,5
R0275,Comfort-sensitive,EnergyBridge,3,1,2
R0276,Caregiver,MPC,1,1,3
R0276,Caregiver,HEMA,2,1,1
R0276,Caregiver,EnergyBridge,3,1,5
R0277,Irregular routine,MPC,1,0,4
R0277,Irregular routine,HEMA,2,0,4
R0277,Irregular routine,EnergyBridge,3,0,3
R0278,Comfort-sensitive,MPC,1,1,4
R0278,Comfort-sensitive,HEMA,2,1,2
R0278,Comfort-sensitive,EnergyBridge,3,0,2
R0279,Price-sensitive,MPC,1,1,1
R0279,Price-sensitive,HEMA,2,1,3
R0279,Price-sensitive,EnergyBridge,3,1,4
R0280,Comfort-sensitive,MPC,1,1,3.7
R0280,Comfort-sensitive,HEMA,2,1,3.6
R0280,Comfort-sensitive,EnergyBridge,3,1,3.5
R0281,Price-sensitive,MPC,1,0,1
R0281,Price-sensitive,HEMA,2,0,0
R0281,Price-sensitive,EnergyBridge,3,0,3
R0282,Caregiver,MPC,1,0,3
R0282,Caregiver,HEMA,2,0,1
R0282,Caregiver,EnergyBridge,3,1,1
R0283,EV commuter,MPC,1,0,2
R0283,EV commuter,HEMA,2,1,2
R0283,EV commuter,EnergyBridge,3,1,2
R0284,Caregiver,MPC,1,0,2
R0284,Caregiver,HEMA,2,0,3
R0284,Caregiver,EnergyBridge,3,0,3
R0285,Caregiver,MPC,1,0,4
R0285,Caregiver,HEMA,2,1,0
R0285,Caregiver,EnergyBridge,3,1,0
R0286,Comfort-sensitive,MPC,1,0,2
R0286,Comfort-sensitive,HEMA,2,0,2
R0286,Comfort-sensitive,EnergyBridge,3,0,0
R0287,Caregiver,MPC,1,0,3
R0287,Caregiver,HEMA,2,0,5
R0287,Caregiver,EnergyBridge,3,0,1
R0288,EV commuter,MPC,1,0,3
R0288,EV commuter,HEMA,2,1,4
R0288,EV commuter,EnergyBridge,3,1,2
R0289,Price-sensitive,MPC,1,1,4.5
R0289,Price-sensitive,HEMA,2,0,3.4
R0289,Price-sensitive,EnergyBridge,3,1,4.2
R0290,Caregiver,MPC,1,0,4
R0290,Caregiver,HEMA,2,0,2
R0290,Caregiver,EnergyBridge,3,0,1
R0291,Comfort-sensitive,MPC,1,0,3
R0291,Comfort-sensitive,HEMA,2,0,3
R0291,Comfort-sensitive,EnergyBridge,3,0,1
R0292,EV commuter,MPC,1,1,2
R0292,EV commuter,HEMA,2,0,0
R0292,EV commuter,EnergyBridge,3,1,0
R0293,Comfort-sensitive,MPC,1,0,0
R0293,Comfort-sensitive,HEMA,2,0,3
R0293,Comfort-sensitive,EnergyBridge,3,1,2
R0294,Caregiver,MPC,1,0,0
R0294,Caregiver,HEMA,2,1,3
R0294,Caregiver,EnergyBridge,3,1,4
R0295,Caregiver,MPC,1,0,5
R0295,Caregiver,HEMA,2,0,1
R0295,Caregiver,EnergyBridge,3,1,4
R0296,Caregiver,MPC,1,1,1
R0296,Caregiver,HEMA,2,0,4
R0296,Caregiver,EnergyBridge,3,1,5
R0297,Comfort-sensitive,MPC,1,1,5
R0297,Comfort-sensitive,HEMA,2,0,2
R0297,Comfort-sensitive,EnergyBridge,3,1,3
R0298,Cooperative regular,MPC,1,0,4
R0298,Cooperative regular,HEMA,2,1,4
R0298,Cooperative regular,EnergyBridge,3,0,0
R0299,Irregular routine,MPC,1,1,1
R0299,Irregular routine,HEMA,2,0,5
R0299,Irregular routine,EnergyBridge,3,0,3
R0300,Cooperative regular,MPC,1,0,2
R0300,Cooperative regular,HEMA,2,0,3
R0300,Cooperative regular,EnergyBridge,3,0,2
R0301,Comfort-sensitive,MPC,1,0,3
R0301,Comfort-sensitive,HEMA,2,1,3
R0301,Comfort-sensitive,EnergyBridge,3,1,5
R0302,Price-sensitive,MPC,1,1,4.8
R0302,Price-sensitive,HEMA,2,0,3.5
R0302,Price-sensitive,EnergyBridge,3,1,4.8
R0303,EV commuter,MPC,1,0,3
R0303,EV commuter,HEMA,2,1,5
R0303,EV commuter,EnergyBridge,3,1,4
R0304,Comfort-sensitive,MPC,1,0,4
R0304,Comfort-sensitive,HEMA,2,0,2
R0304,Comfort-sensitive,EnergyBridge,3,0,5
R0305,Irregular routine,MPC,1,0,4
R0305,Irregular routine,HEMA,2,0,5
R0305,Irregular routine,EnergyBridge,3,0,0
R0306,EV commuter,MPC,1,0,1
R0306,EV commuter,HEMA,2,1,5
R0306,EV commuter,EnergyBridge,3,0,5
R0307,EV commuter,MPC,1,0,3
R0307,EV commuter,HEMA,2,0,4
R0307,EV commuter,EnergyBridge,3,0,1
R0308,Irregular routine,MPC,1,0,4
R0308,Irregular routine,HEMA,2,0,0
R0308,Irregular routine,EnergyBridge,3,1,5
R0309,Caregiver,MPC,1,1,4
R0309,Caregiver,HEMA,2,0,4
R0309,Caregiver,EnergyBridge,3,1,0
R0310,EV commuter,MPC,1,0,5
R0310,EV commuter,HEMA,2,0,4
R0310,EV commuter,EnergyBridge,3,1,3
R0311,Price-sensitive,MPC,1,1,4.5
R0311,Price-sensitive,HEMA,2,0,2.7
R0311,Price-sensitive,EnergyBridge,3,1,3.9
R0312,Cooperative regular,MPC,1,0,2
R0312,Cooperative regular,HEMA,2,0,3
R0312,Cooperative regular,EnergyBridge,3,1,4
R0313,Cooperative regular,MPC,1,0,4
R0313,Cooperative regular,HEMA,2,0,5
R0313,Cooperative regular,EnergyBridge,3,1,2
R0314,Caregiver,MPC,1,0,4
R0314,Caregiver,HEMA,2,1,2
R0314,Caregiver,EnergyBridge,3,1,3
R0315,Comfort-sensitive,MPC,1,0,3
R0315,Comfort-sensitive,HEMA,2,0,2
R0315,Comfort-sensitive,EnergyBridge,3,1,3
R0316,Irregular routine,MPC,1,0,2
R0316,Irregular routine,HEMA,2,1,4
R0316,Irregular routine,EnergyBridge,3,1,5
R0317,Comfort-sensitive,MPC,1,0,1
R0317,Comfort-sensitive,HEMA,2,1,3
R0317,Comfort-sensitive,EnergyBridge,3,1,1
R0318,Comfort-sensitive,MPC,1,0,2
R0318,Comfort-sensitive,HEMA,2,0,1
R0318,Comfort-sensitive,EnergyBridge,3,1,1
R0319,Comfort-sensitive,MPC,1,1,3.9
R0319,Comfort-sensitive,HEMA,2,1,4
R0319,Comfort-sensitive,EnergyBridge,3,1,4.7
R0320,Caregiver,MPC,1,1,2
R0320,Caregiver,HEMA,2,0,1
R0320,Caregiver,EnergyBridge,3,1,2
R0321,EV commuter,MPC,1,1,4
R0321,EV commuter,HEMA,2,0,5
R0321,EV commuter,EnergyBridge,3,1,4
R0322,Cooperative regular,MPC,1,1,3
R0322,Cooperative regular,HEMA,2,0,5
R0322,Cooperative regular,EnergyBridge,3,1,1
R0323,EV commuter,MPC,1,0,5
R0323,EV commuter,HEMA,2,0,4
R0323,EV commuter,EnergyBridge,3,0,3
R0324,Price-sensitive,MPC,1,0,1
R0324,Price-sensitive,HEMA,2,0,1
R0324,Price-sensitive,EnergyBridge,3,0,0
R0325,EV commuter,MPC,1,0,2
R0325,EV commuter,HEMA,2,0,2
R0325,EV commuter,EnergyBridge,3,1,5
R0326,Cooperative regular,MPC,1,0,5
R0326,Cooperative regular,HEMA,2,1,0
R0326,Cooperative regular,EnergyBridge,3,1,4
R0327,EV commuter,MPC,1,0,5
R0327,EV commuter,HEMA,2,0,4
R0327,EV commuter,EnergyBridge,3,1,1
R0328,Caregiver,MPC,1,0,4
R0328,Caregiver,HEMA,2,0,1
R0328,Caregiver,EnergyBridge,3,1,3
R0329,Comfort-sensitive,MPC,1,1,2
R0329,Comfort-sensitive,HEMA,2,0,1
R0329,Comfort-sensitive,EnergyBridge,3,0,1
R0330,EV commuter,MPC,1,1,4
R0330,EV commuter,HEMA,2,0,3.2
R0330,EV commuter,EnergyBridge,3,0,3
R0331,EV commuter,MPC,1,0,0
R0331,EV commuter,HEMA,2,0,0
R0331,EV commuter,EnergyBridge,3,1,5
R0332,EV commuter,MPC,1,0,1
R0332,EV commuter,HEMA,2,1,1
R0332,EV commuter,EnergyBridge,3,0,4
R0333,EV commuter,MPC,1,0,4
R0333,EV commuter,HEMA,2,0,5
R0333,EV commuter,EnergyBridge,3,1,1
R0334,Price-sensitive,MPC,1,1,4.5
R0334,Price-sensitive,HEMA,2,1,4.9
R0334,Price-sensitive,EnergyBridge,3,1,5
R0335,Price-sensitive,MPC,1,0,1
R0335,Price-sensitive,HEMA,2,1,1
R0335,Price-sensitive,EnergyBridge,3,1,2
R0336,EV commuter,MPC,1,0,2
R0336,EV commuter,HEMA,2,1,1
R0336,EV commuter,EnergyBridge,3,0,4
R0337,Caregiver,MPC,1,0,2
R0337,Caregiver,HEMA,2,1,4
R0337,Caregiver,EnergyBridge,3,1,0
R0338,EV commuter,MPC,1,0,2
R0338,EV commuter,HEMA,2,0,2
R0338,EV commuter,EnergyBridge,3,1,3
R0339,EV commuter,MPC,1,1,2
R0339,EV commuter,HEMA,2,1,1
R0339,EV commuter,EnergyBridge,3,0,4
R0340,EV commuter,MPC,1,1,3
R0340,EV commuter,HEMA,2,0,4
R0340,EV commuter,EnergyBridge,3,1,1
R0341,Irregular routine,MPC,1,0,5
R0341,Irregular routine,HEMA,2,1,2
R0341,Irregular routine,EnergyBridge,3,1,1
R0342,Caregiver,MPC,1,0,5
R0342,Caregiver,HEMA,2,1,2
R0342,Caregiver,EnergyBridge,3,1,5
R0343,EV commuter,MPC,1,0,5
R0343,EV commuter,HEMA,2,0,5
R0343,EV commuter,EnergyBridge,3,1,0
R0344,Caregiver,MPC,1,1,3
R0344,Caregiver,HEMA,2,1,0
R0344,Caregiver,EnergyBridge,3,1,3
R0345,Price-sensitive,MPC,1,0,5
R0345,Price-sensitive,HEMA,2,0,4
R0345,Price-sensitive,EnergyBridge,3,0,5
R0346,Caregiver,MPC,1,0,2
R0346,Caregiver,HEMA,2,0,1
R0346,Caregiver,EnergyBridge,3,1,3
R0347,Comfort-sensitive,MPC,1,0,0
R0347,Comfort-sensitive,HEMA,2,0,0
R0347,Comfort-sensitive,EnergyBridge,3,0,5
R0348,Cooperative regular,MPC,1,0,1
R0348,Cooperative regular,HEMA,2,0,0
R0348,Cooperative regular,EnergyBridge,3,1,2
R0349,Caregiver,MPC,1,0,4
R0349,Caregiver,HEMA,2,0,2
R0349,Caregiver,EnergyBridge,3,1,4
R0350,Irregular routine,MPC,1,0,5
R0350,Irregular routine,HEMA,2,0,0
R0350,Irregular routine,EnergyBridge,3,1,0
R0351,Comfort-sensitive,MPC,1,0,0
R0351,Comfort-sensitive,HEMA,2,0,0
R0351,Comfort-sensitive,EnergyBridge,3,1,4
R0352,Caregiver,MPC,1,0,1
R0352,Caregiver,HEMA,2,1,4
R0352,Caregiver,EnergyBridge,3,1,0
R0353,Cooperative regular,MPC,1,0,5
R0353,Cooperative regular,HEMA,2,0,3
R0353,Cooperative regular,EnergyBridge,3,1,4
R0354,Cooperative regular,MPC,1,0,1
R0354,Cooperative regular,HEMA,2,1,4
R0354,Cooperative regular,EnergyBridge,3,1,5
R0355,Cooperative regular,MPC,1,0,2
R0355,Cooperative regular,HEMA,2,1,3
R0355,Cooperative regular,EnergyBridge,3,1,0
R0356,Price-sensitive,MPC,1,0,3
R0356,Price-sensitive,HEMA,2,1,5
R0356,Price-sensitive,EnergyBridge,3,1,5
R0357,Price-sensitive,MPC,1,1,3.7
R0357,Price-sensitive,HEMA,2,1,3.7
R0357,Price-sensitive,EnergyBridge,3,1,3.6
R0358,Cooperative regular,MPC,1,1,5
R0358,Cooperative regular,HEMA,2,1,0
R0358,Cooperative regular,EnergyBridge,3,0,2
R0359,EV commuter,MPC,1,0,4
R0359,EV commuter,HEMA,2,0,4
R0359,EV commuter,EnergyBridge,3,1,1
R0360,EV commuter,MPC,1,0,0
R0360,EV commuter,HEMA,2,0,4
R0360,EV commuter,EnergyBridge,3,1,0
R0361,Cooperative regular,MPC,1,1,5
R0361,Cooperative regular,HEMA,2,0,2
R0361,Cooperative regular,EnergyBridge,3,0,0
R0362,Comfort-sensitive,MPC,1,1,0
R0362,Comfort-sensitive,HEMA,2,1,4
R0362,Comfort-sensitive,EnergyBridge,3,1,1
R0363,Comfort-sensitive,MPC,1,0,3
R0363,Comfort-sensitive,HEMA,2,0,1
R0363,Comfort-sensitive,EnergyBridge,3,1,2
R0364,Price-sensitive,MPC,1,0,4
R0364,Price-sensitive,HEMA,2,0,4
R0364,Price-sensitive,EnergyBridge,3,1,1
R0365,Irregular routine,MPC,1,1,3
R0365,Irregular routine,HEMA,2,1,2.7
R0365,Irregular routine,EnergyBridge,3,1,2.3
R0366,EV commuter,MPC,1,0,5
R0366,EV commuter,HEMA,2,0,2
R0366,EV commuter,EnergyBridge,3,1,3
R0367,Price-sensitive,MPC,1,0,1
R0367,Price-sensitive,HEMA,2,1,2
R0367,Price-sensitive,EnergyBridge,3,1,5
R0368,Price-sensitive,MPC,1,0,5
R0368,Price-sensitive,HEMA,2,1,4
R0368,Price-sensitive,EnergyBridge,3,1,0
R0369,Comfort-sensitive,MPC,1,0,5
R0369,Comfort-sensitive,HEMA,2,0,1
R0369,Comfort-sensitive,EnergyBridge,3,0,1
R0370,Comfort-sensitive,MPC,1,0,0
R0370,Comfort-sensitive,HEMA,2,0,0
R0370,Comfort-sensitive,EnergyBridge,3,0,3
R0371,Cooperative regular,MPC,1,1,4
R0371,Cooperative regular,HEMA,2,0,5
R0371,Cooperative regular,EnergyBridge,3,1,2
R0372,Irregular routine,MPC,1,0,0
R0372,Irregular routine,HEMA,2,1,2
R0372,Irregular routine,EnergyBridge,3,0,5
R0373,Irregular routine,MPC,1,0,1
R0373,Irregular routine,HEMA,2,1,3
R0373,Irregular routine,EnergyBridge,3,1,5
R0374,Comfort-sensitive,MPC,1,0,4
R0374,Comfort-sensitive,HEMA,2,0,4
R0374,Comfort-sensitive,EnergyBridge,3,1,3
R0375,Caregiver,MPC,1,0,0
R0375,Caregiver,HEMA,2,0,0
R0375,Caregiver,EnergyBridge,3,1,3
R0376,Caregiver,MPC,1,1,3
R0376,Caregiver,HEMA,2,0,2
R0376,Caregiver,EnergyBridge,3,0,4
R0377,Caregiver,MPC,1,0,3
R0377,Caregiver,HEMA,2,0,3
R0377,Caregiver,EnergyBridge,3,1,4
R0378,Caregiver,MPC,1,1,2
R0378,Caregiver,HEMA,2,1,2
R0378,Caregiver,EnergyBridge,3,0,2
R0379,Caregiver,MPC,1,0,1
R0379,Caregiver,HEMA,2,0,3
R0379,Caregiver,EnergyBridge,3,1,4
R0380,Price-sensitive,MPC,1,1,5
R0380,Price-sensitive,HEMA,2,1,5
R0380,Price-sensitive,EnergyBridge,3,1,5
R0381,Comfort-sensitive,MPC,1,0,3.1
R0381,Comfort-sensitive,HEMA,2,1,3.4
R0381,Comfort-sensitive,EnergyBridge,3,1,2.6
R0382,Comfort-sensitive,MPC,1,1,5
R0382,Comfort-sensitive,HEMA,2,0,4
R0382,Comfort-sensitive,EnergyBridge,3,1,0
R0383,Price-sensitive,MPC,1,1,4
R0383,Price-sensitive,HEMA,2,0,5
R0383,Price-sensitive,EnergyBridge,3,0,1
R0384,Comfort-sensitive,MPC,1,0,5
R0384,Comfort-sensitive,HEMA,2,0,4
R0384,Comfort-sensitive,EnergyBridge,3,1,3
R0385,Caregiver,MPC,1,0,4
R0385,Caregiver,HEMA,2,1,4
R0385,Caregiver,EnergyBridge,3,1,0
R0386,Cooperative regular,MPC,1,0,4
R0386,Cooperative regular,HEMA,2,1,5
R0386,Cooperative regular,EnergyBridge,3,1,5
R0387,EV commuter,MPC,1,0,0
R0387,EV commuter,HEMA,2,1,3
R0387,EV commuter,EnergyBridge,3,1,5
R0388,EV commuter,MPC,1,0,0
R0388,EV commuter,HEMA,2,0,5
R0388,EV commuter,EnergyBridge,3,1,2
R0389,Price-sensitive,MPC,1,0,1
R0389,Price-sensitive,HEMA,2,1,1
R0389,Price-sensitive,EnergyBridge,3,1,4
R0390,Caregiver,MPC,1,0,2
R0390,Caregiver,HEMA,2,0,3
R0390,Caregiver,EnergyBridge,3,0,1
R0391,EV commuter,MPC,1,1,4
R0391,EV commuter,HEMA,2,1,4
R0391,EV commuter,EnergyBridge,3,1,4
R0392,Price-sensitive,MPC,1,0,2
R0392,Price-sensitive,HEMA,2,0,2
R0392,Price-sensitive,EnergyBridge,3,0,1
R0393,Irregular routine,MPC,1,0,5
R0393,Irregular routine,HEMA,2,1,0
R0393,Irregular routine,EnergyBridge,3,0,0
R0394,Cooperative regular,MPC,1,0,5
R0394,Cooperative regular,HEMA,2,0,3
R0394,Cooperative regular,EnergyBridge,3,1,3
R0395,Comfort-sensitive,MPC,1,0,5
R0395,Comfort-sensitive,HEMA,2,1,5
R0395,Comfort-sensitive,EnergyBridge,3,1,5
R0396,Price-sensitive,MPC,1,0,4
R0396,Price-sensitive,HEMA,2,0,3
R0396,Price-sensitive,EnergyBridge,3,1,3
R0397,EV commuter,MPC,1,0,3
R0397,EV commuter,HEMA,2,1,0
R0397,EV commuter,EnergyBridge,3,1,2
R0398,Price-sensitive,MPC,1,0,5
R0398,Price-sensitive,HEMA,2,0,0
R0398,Price-sensitive,EnergyBridge,3,0,1
R0399,Price-sensitive,MPC,1,0,2.4
R0399,Price-sensitive,HEMA,2,1,2.5
